time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-14 00:00:00+00:00,,,71,9
2025-05-15 00:00:00+00:00,,,23,8
2025-05-16 00:00:00+00:00,,,31,10
2025-05-17 00:00:00+00:00,,,4,1
2025-05-18 00:00:00+00:00,,,12,5
2025-05-19 00:00:00+00:00,1.0,1.0,37,13
2025-05-20 00:00:00+00:00,2.0,2.0,115,18
2025-05-21 00:00:00+00:00,1.0,1.0,42,14
2025-05-22 00:00:00+00:00,,,15,9
2025-05-23 00:00:00+00:00,1.0,1.0,25,8
2025-05-24 00:00:00+00:00,,,7,3
2025-05-25 00:00:00+00:00,,,2,2
2025-05-26 00:00:00+00:00,,,29,8
2025-05-27 00:00:00+00:00,3.0,3.0,69,15
