time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,1,1,45,13
2026-05-05 00:00:00+00:00,3,3,39,16
2026-05-06 00:00:00+00:00,1,1,44,13
2026-05-07 00:00:00+00:00,3,2,21,10
2026-05-08 00:00:00+00:00,1,1,41,13
2026-05-09 00:00:00+00:00,3,3,44,9
2026-05-10 00:00:00+00:00,2,2,10,6
2026-05-11 00:00:00+00:00,8,5,14,9
2026-05-12 00:00:00+00:00,4,1,30,14
2026-05-13 00:00:00+00:00,2,2,22,10
2026-05-14 00:00:00+00:00,1,1,52,10
2026-05-15 00:00:00+00:00,4,4,10,7
2026-05-16 00:00:00+00:00,1,1,3,3
2026-05-17 00:00:00+00:00,0,0,6,5
