time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-02 00:00:00+00:00,55,2,35,4
2026-01-03 00:00:00+00:00,0,0,8,5
2026-01-04 00:00:00+00:00,1,1,8,5
2026-01-05 00:00:00+00:00,0,0,42,13
2026-01-06 00:00:00+00:00,4,2,55,14
2026-01-07 00:00:00+00:00,54,1,101,18
2026-01-08 00:00:00+00:00,0,0,39,18
2026-01-09 00:00:00+00:00,0,0,34,11
2026-01-10 00:00:00+00:00,0,0,4,4
2026-01-11 00:00:00+00:00,0,0,1,1
2026-01-12 00:00:00+00:00,2,2,33,12
2026-01-13 00:00:00+00:00,0,0,45,11
2026-01-14 00:00:00+00:00,1,1,38,13
2026-01-15 00:00:00+00:00,2,2,59,13
