time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-25 00:00:00+00:00,9,9,6,5
2025-10-26 00:00:00+00:00,3,3,2,2
2025-10-27 00:00:00+00:00,11,9,57,22
2025-10-28 00:00:00+00:00,32,24,68,22
2025-10-29 00:00:00+00:00,14,14,72,15
2025-10-30 00:00:00+00:00,19,17,23,17
2025-10-31 00:00:00+00:00,13,12,103,19
2025-11-01 00:00:00+00:00,4,4,9,6
2025-11-02 00:00:00+00:00,3,2,38,11
2025-11-03 00:00:00+00:00,22,13,25,10
2025-11-04 00:00:00+00:00,18,11,92,24
2025-11-05 00:00:00+00:00,33,19,86,21
2025-11-06 00:00:00+00:00,20,13,63,20
2025-11-07 00:00:00+00:00,10,10,27,13
