time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-19 00:00:00+00:00,2.0,2.0,111,19
2025-03-20 00:00:00+00:00,3.0,1.0,94,21
2025-03-21 00:00:00+00:00,1.0,1.0,40,15
2025-03-22 00:00:00+00:00,,,62,7
2025-03-23 00:00:00+00:00,,,7,6
2025-03-24 00:00:00+00:00,,,25,12
2025-03-25 00:00:00+00:00,,,19,10
2025-03-26 00:00:00+00:00,,,28,10
2025-03-27 00:00:00+00:00,,,52,14
2025-03-28 00:00:00+00:00,1.0,1.0,27,9
2025-03-29 00:00:00+00:00,,,15,3
2025-03-30 00:00:00+00:00,1.0,1.0,4,3
2025-03-31 00:00:00+00:00,,,98,12
2025-04-01 00:00:00+00:00,6.0,4.0,54,16
