time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,8.0,7.0,42,13
2025-10-03 00:00:00+00:00,1.0,1.0,26,7
2025-10-04 00:00:00+00:00,,,2,2
2025-10-05 00:00:00+00:00,3.0,3.0,2,2
2025-10-06 00:00:00+00:00,1.0,1.0,69,22
2025-10-07 00:00:00+00:00,,,63,16
2025-10-08 00:00:00+00:00,7.0,4.0,123,20
2025-10-09 00:00:00+00:00,16.0,15.0,128,26
2025-10-10 00:00:00+00:00,15.0,12.0,98,12
2025-10-11 00:00:00+00:00,12.0,6.0,46,6
2025-10-12 00:00:00+00:00,5.0,4.0,16,4
2025-10-13 00:00:00+00:00,18.0,14.0,61,17
2025-10-14 00:00:00+00:00,15.0,12.0,51,25
2025-10-15 00:00:00+00:00,23.0,13.0,74,24
